id,nombre_direccion,comuna_id
0,Arlington Avenue 4373,8
1,Devon Court 3282,9
2,Grand Avenue 4592,7
3,Essex Court 2913,0
4,Hanover Court 3979,8
5,Laurel Lane 3292,9
6,White Street 2449,4
7,Rose Street 801,4
8,Cedar Lane 2100,5
9,King Street 4431,0
10,King Street 2722,6
11,Laurel Drive 1854,1
12,Crescent Street 1425,5
13,Heather Lane 2561,4
14,King Street 2468,2
15,Fairway Drive 1345,7
16,Hanover Court 4980,1
17,Olive Street 75,7
18,King Street 1466,0
19,Broad Street 4276,3
20,MartÃ­n de Solier 4598,1
21,Front Street North 1357,6
22,Summit Avenue 2151,5
23,Broad Street 2167,8
24,Route 30 3391,6
25,Front Street North 3783,0
26,Windsor Drive 4262,3
27,White Street 1207,7
28,Heather Lane 1747,5
29,Ann Street 3843,0
30,River Street 1195,3
31,White Street 744,6
32,Orchard Avenue 1304,2
33,Briarwood Drive 3071,4
34,Broad Street 1869,5
35,Williams Street 3205,3
36,Woodland Drive 3560,7
37,Cottage Street 2329,5
38,Maiden Lane 4811,0
39,Heather Lane 2758,4
40,Broad Street 1159,2
41,Maiden Lane 1464,0
42,Warren Avenue 323,8
43,Cottage Street 2598,5
44,River Street 3210,0
45,Country Club Road 4213,0
46,Av. San Pablo 6190,6
47,Madison Avenue 4519,3
48,Pleasant Street 3809,8
49,Av. Santa Rosa 8914,4
50,Summit Avenue 1417,8
51,Ann Street 3299,3
52,Warren Avenue 654,4
53,Front Street North 2093,9
54,Garfield Avenue 4144,2
55,Cedar Avenue 2199,5
56,Olive Street 3781,6
57,Broad Street 3096,9
58,Crescent Street 3474,6
59,Olive Street 3470,4
60,Hanover Court 2620,9
61,Pleasant Street 2089,5
62,Grand Avenue 3236,3
63,Clay Street 3396,4
64,Windsor Drive 415,3
65,Monroe Street 2011,8
66,Cedar Avenue 3816,1
67,Atlantic Avenue 3657,5
68,John Street 2804,6
69,Carlos Dittborn 733,6
70,Main Street 207,8
71,Rose Street 4552,5
72,Grand Avenue 2209,2
73,White Street 3347,2
74,Windsor Drive 212,3
75,Madison Avenue 977,2
76,Charles Street 1832,6
77,Hanover Court 4370,0
78,Summit Avenue 1846,4
79,Arlington Avenue 1291,8
80,Woodland Drive 3788,0
81,Heather Lane 4358,5
82,Summit Avenue 3284,9
