id,direccion
0,506
1,1049
2,213
3,102
4,429
5,990
6,462
7,150
8,122
9,229
10,97
11,1053
12,99
13,387
14,377
15,582
16,838
17,679
18,615
19,324
20,523
21,823
22,648
23,957
24,283
25,272
26,404
27,841
28,1094
29,1063
30,819
31,372
32,777
33,208
34,183
35,567
36,74
37,835
38,701
39,1048
40,430
41,212
42,492
43,876
44,59
45,532
46,528
47,286
48,291
49,21
50,257
51,1074
52,618
53,90
54,698
55,1068
56,1003
57,969
58,1084
59,494
60,670
61,145
62,773
63,285
64,52
65,1088
66,1055
67,241
68,632
69,93
70,962
71,158
72,156
73,100
74,1011
75,882
76,539
77,309
78,172
79,542
80,393
81,866
82,950
83,613
84,711
85,1061
86,400
87,594
88,1064
89,182
90,294
91,141
92,657
93,772
94,858
95,730
96,892
97,225
98,987
99,787
100,170
101,194
